FID,SAMPLEID,SOILTYPE,DEPTH_m,X_EUREF,Y_EUREF,MULTIBLE_TILL,PROFILE,PROFILE_END,SUBTILL_SORTED
21105,48520,moreeni,2,510963.0594,7478004.404,No,Profile,No,No
21106,48521,moreeni,0.9,511063.0201,7478054.383,No,Profile,No,No
21107,48522,moreeni,1.3,511142.9887,7478094.367,No,Profile,No,No
21108,48523,moreeni,3,511232.9534,7478144.347,No,Profile,No,No
21109,48524,moreeni,3,511322.918,7478194.327,No,Profile,No,No
21110,48525,moreeni,1.5,511402.8866,7478234.311,No,Profile,No,No
21111,48526,moreeni,1,511482.8552,7478284.29,No,Profile,No,No
21112,48527,moreeni,1.1,511572.8199,7478334.27,No,Profile,No,No
21113,48528,moreeni,3.4,511662.7846,7478384.25,No,Profile,No,No
21114,48529,moreeni,2,511742.7532,7478434.23,No,Profile,No,No
21115,48530,moreeni,1.1,511842.714,7478494.206,No,Profile,No,No
21116,48531,moreeni,0.6,511922.6826,7478534.189,No,Profile,No,No
21117,48532,moreeni,2,511992.6553,7478594.165,No,Profile,No,No
21118,35232,moreeni,1.2,509833.5989,7485031.6,No,Profile,No,No
21119,35233,moreeni,1.1,509933.5589,7485061.587,No,Profile,No,No
21120,35234,moreeni,2,510033.5187,7485071.583,No,Profile,No,No
21121,35235,moreeni,2,510123.4826,7485081.579,No,Profile,No,No
21122,35236,moreeni,4,510223.4425,7485101.571,No,Profile,No,No
21123,35237,moreeni,4,510323.4023,7485111.567,No,Profile,No,No
21124,35238,moreeni,1.8,510413.3661,7485121.562,No,Profile,No,No
21125,35239,moreeni,2,510513.3261,7485151.55,No,Profile,No,No
21126,35240,moreeni,2,510603.29,7485171.542,No,Profile,No,No
21127,35241,moreeni,2,510693.2539,7485201.53,No,Profile,No,No
21128,35242,moreeni,2,510793.2139,7485231.518,No,Profile,No,No
21129,35243,moreeni,4,510903.1697,7485251.509,No,Profile,No,No
21130,35244,moreeni,0.8,510993.1337,7485281.497,No,Profile,No,No
21131,35245,moreeni,0.7,511093.0936,7485311.485,No,Profile,No,No
21132,35246,moreeni,1,511193.0536,7485341.473,No,Profile,No,No
21133,35247,moreeni,2,511283.0175,7485371.461,No,Profile,No,No
21134,35248,moreeni,2,511382.9774,7485391.452,No,Profile,No,No
21135,35249,moreeni,0.6,511482.9374,7485421.44,No,Profile,No,No
21136,35250,moreeni,2,511582.8973,7485451.428,No,Profile,No,No
21137,35251,moreeni,2,511682.8572,7485471.42,No,Profile,No,No
21138,35252,moreeni,2,511772.8212,7485501.407,No,Profile,No,No
21139,35253,moreeni,5,511872.781,7485521.399,No,Profile,No,No
21140,35254,moreeni,6,511962.745,7485551.387,No,Profile,No,No
21141,11074,moreeni,0.6,503336.2777,7496816.921,No,Profile,No,No
21142,11075,moreeni,1,503336.2777,7496816.921,No,Profile,No,No
21143,11077,moreeni,0.6,503386.2572,7496756.945,No,Profile,No,No
21144,11078,moreeni,0.8,503386.2572,7496756.945,No,Profile,No,No
21145,11080,moreeni,0.6,503456.2286,7496666.981,No,Profile,No,No
21146,11081,moreeni,1,503456.2286,7496666.981,No,Profile,No,No
21147,11083,moreeni,0.6,503516.2041,7496607.005,No,Profile,No,No
21148,11084,moreeni,1,503516.2041,7496607.005,No,Profile,No,No
21149,11087,moreeni,1,503586.1756,7496547.028,No,Profile,No,No
21150,11089,moreeni,0.6,503616.1632,7496477.056,No,Profile,No,No
21151,11092,moreeni,0.6,503676.1385,7496377.096,No,Profile,No,No
21152,11095,moreeni,0.6,503726.1182,7496337.112,No,Profile,No,No
21153,11096,moreeni,1,503726.1182,7496337.112,No,Profile,No,No
21154,11098,moreeni,0.6,503786.0936,7496257.143,No,Profile,No,No
21155,11101,moreeni,0.6,503836.0731,7496177.175,No,Profile,No,No
21156,11104,moreeni,0.6,503886.0526,7496107.203,No,Profile,No,No
21157,11107,moreeni,0.6,503946.0281,7496037.23,No,Profile,No,No
21158,11110,moreeni,0.6,504015.9996,7495977.254,No,Profile,No,No
21159,11111,moreeni,0.9,504015.9996,7495977.254,No,Profile,No,No
21160,11113,moreeni,0.6,504085.9712,7495927.274,No,Profile,No,No
21161,11114,moreeni,1.1,504085.9712,7495927.274,No,Profile,No,No
21162,11116,moreeni,0.6,504105.9628,7495867.298,No,Profile,No,No
21163,11117,moreeni,0.9,504105.9628,7495867.298,No,Profile,No,No
21164,11119,moreeni,0.6,504145.9464,7495807.322,No,Profile,No,No
21165,11120,moreeni,1,504145.9464,7495807.322,No,Profile,No,No
21166,11122,moreeni,0.6,504205.922,7495767.337,No,Profile,No,No
21167,11123,moreeni,1.2,504205.922,7495767.337,No,Profile,No,No
21168,11125,moreeni,0.6,504265.8973,7495657.381,No,Profile,No,No
21169,11126,moreeni,1,504265.8973,7495657.381,No,Profile,No,No
21170,11128,moreeni,0.6,504325.8728,7495597.405,No,Profile,No,No
21171,11129,moreeni,1,504325.8728,7495597.405,No,Profile,No,No
21172,11131,moreeni,0.6,504365.8563,7495527.432,No,Profile,No,No
21173,11132,moreeni,0.8,504365.8563,7495527.432,No,Profile,No,No
21174,11134,moreeni,0.6,504415.836,7495477.452,No,Profile,No,No
21175,11135,moreeni,1,504415.836,7495477.452,No,Profile,No,No
21176,11138,moreeni,1.5,504475.8114,7495407.48,No,Profile,No,No
21177,11142,moreeni,1.5,504585.7664,7495267.535,No,Profile,No,No
21178,11144,moreeni,0.6,504655.7379,7495197.563,No,Profile,No,No
21179,11145,moreeni,0.8,504655.7379,7495197.563,No,Profile,No,No
21180,11149,moreeni,0.6,504805.6766,7495017.634,No,Profile,No,No
21181,11150,moreeni,1,504805.6766,7495017.634,No,Profile,No,No
21182,11152,moreeni,0.6,504845.6601,7494947.662,No,Profile,No,No
21183,11153,moreeni,1.1,504845.6601,7494947.662,No,Profile,No,No
21184,11155,moreeni,0.6,504905.6355,7494857.698,No,Profile,No,No
21185,11156,moreeni,1,504905.6355,7494857.698,No,Profile,No,No
21186,11158,moreeni,0.6,504975.607,7494787.726,No,Profile,No,No
21187,11159,moreeni,1.1,504975.607,7494787.726,No,Profile,No,No
21188,11161,moreeni,0.6,505015.5904,7494707.757,No,Profile,No,No
21189,11162,moreeni,1.2,505015.5904,7494707.757,No,Profile,No,No
21190,11164,moreeni,0.6,505085.5618,7494627.789,No,Profile,No,No
21191,11165,moreeni,1.1,505085.5618,7494627.789,No,Profile,No,No
21192,11167,moreeni,0.6,505145.5373,7494547.821,No,Profile,No,No
21193,11168,moreeni,1.2,505145.5373,7494547.821,No,Profile,No,No
21194,11170,moreeni,0.6,505225.5047,7494467.852,No,Profile,No,No
21195,11171,moreeni,1.2,505225.5047,7494467.852,No,Profile,No,No
21196,11173,moreeni,0.6,505275.4842,7494397.88,No,Profile,No,No
21197,11174,moreeni,1.2,505275.4842,7494397.88,No,Profile,No,No
21198,11176,moreeni,0.6,505335.4595,7494297.92,No,Profile,No,No
21199,11177,moreeni,1.1,505335.4595,7494297.92,No,Profile,No,No
21200,11179,moreeni,1.5,505415.427,7494247.939,No,Profile,No,No
21201,11181,moreeni,0.6,505465.4065,7494167.971,No,Profile,No,No
21202,11182,moreeni,1.3,505465.4065,7494167.971,No,Profile,No,No
21203,11184,moreeni,0.6,505525.3819,7494088.003,No,Profile,No,No
21204,11185,moreeni,1.3,505525.3819,7494088.003,No,Profile,No,No
21205,11187,moreeni,0.6,505595.3533,7493998.039,No,Profile,No,No
21206,11188,moreeni,1.4,505595.3533,7493998.039,No,Profile,No,No
21207,11190,moreeni,0.6,505655.3289,7493948.058,No,Profile,No,No
21208,11191,moreeni,1.2,505655.3289,7493948.058,No,Profile,No,No
21209,11193,moreeni,0.6,505715.3042,7493858.094,No,Profile,No,No
21210,11195,moreeni,0.6,505785.2756,7493778.126,No,Profile,No,No
21211,11196,moreeni,1,505785.2756,7493778.126,No,Profile,No,No
