FID,SAMPLEID,SOILTYPE,DEPTH_m,X,Y
24181,19357,0,6.7,506545.0574,7510531.477
24182,19358,0,3,506565.0486,7510381.536
24183,19359,0,3,506565.0481,7510281.576
24184,19360,0,2,506555.0517,7510181.615
24185,19361,0,1,506565.0472,7510101.647
24186,19361,0,2,506565.0472,7510101.647
24187,19361,0,3,506565.0472,7510101.647
24188,19361,0,4,506565.0472,7510101.647
24189,19361,0,4.9,506565.0472,7510101.647
24190,19362,0,2,506605.0308,7510021.678
24191,19363,0,2,506645.0143,7509941.709
24192,19364,0,2,506675.0019,7509861.741
24193,19365,0,1,506714.9854,7509781.772
24194,19365,0,2,506714.9854,7509781.772
24195,19365,0,3,506714.9854,7509781.772
24196,19365,0,3.5,506714.9854,7509781.772
24197,19366,0,2,506744.973,7509701.803
24198,19367,0,1.7,506774.9606,7509631.831
24199,19368,0,2,506814.9441,7509551.862
24200,19369,0,1,506854.9276,7509471.893
24201,19369,0,2,506854.9276,7509471.893
24202,19369,0,3,506854.9276,7509471.893
24203,19369,0,4,506854.9276,7509471.893
24204,19369,2,4.7,506854.9276,7509471.893
24205,19369,2,4.7,506854.9276,7509471.893
24206,19370,0,2,506894.9112,7509391.925
24207,19371,0,2,506924.8987,7509311.956
24208,19371,2,2.1,506924.8987,7509311.956
24209,19371,2,2.1,506924.8987,7509311.956
24210,19372,0,2,506964.8823,7509241.983
24211,19373,0,1,507004.8658,7509162.015
24212,19373,0,1.8,507004.8658,7509162.015
24213,19374,0,2,507034.8534,7509082.046
24214,19375,0,2,507064.8409,7509002.077
24215,19376,0,1.7,507104.8245,7508922.109
24216,19377,0,1,507144.808,7508842.14
24217,19377,0,1.3,507144.808,7508842.14
24218,19378,0,1.8,507184.7914,7508742.179
24219,19379,0,1.7,507224.7749,7508652.215
24220,19380,0,2,507264.7584,7508562.25
24221,19381,0,1,507304.7418,7508462.289
24222,19381,0,2,507304.7418,7508462.289
24223,19381,0,3,507304.7418,7508462.289
24224,19382,0,2,507354.7213,7508362.328
24225,19383,0,2,507384.7088,7508282.36
24226,19384,0,2,507434.6882,7508182.399
24227,19385,0,1,507484.6677,7508092.434
24228,19385,0,2,507484.6677,7508092.434
24229,19385,0,3,507484.6677,7508092.434
24230,19385,0,4,507484.6677,7508092.434
24231,19385,0,5,507484.6677,7508092.434
24232,19385,1,5.7,507484.6677,7508092.434
24233,19386,0,1.9,507524.6512,7508002.469
24234,19387,0,1.8,507564.6347,7507912.504
24235,19388,0,1.9,507604.6182,7507822.54
24236,19389,0,1,507644.6016,7507732.575
24237,19389,0,2,507644.6016,7507732.575
24238,19389,0,3,507644.6016,7507732.575
24239,19390,0,1.8,507684.585,7507622.618
24240,19391,0,2,507724.5685,7507532.653
24241,19392,0,2,507764.552,7507442.689
24242,19393,0,1.3,507794.5397,7507382.712
24243,19393,0,2,507794.5397,7507382.712
24244,19393,0,3,507794.5397,7507382.712
24245,19393,0,3.8,507794.5397,7507382.712
24246,19394,0,2,507844.5192,7507302.743
24247,19395,1,3,507884.5026,7507202.782
24248,19396,0,2,507924.4861,7507112.818
24249,19397,0,2,507974.4655,7507012.857
24250,19397,0,3,507974.4655,7507012.857
24251,19397,0,4,507974.4655,7507012.857
24252,19397,0,5,507974.4655,7507012.857
24253,19397,0,6,507974.4655,7507012.857
24254,19397,0,6.1,507974.4655,7507012.857
24255,19398,1,2,507724.5898,7511860.946
24256,19399,0,4,507664.6143,7511940.915
24257,19400,1,2,507604.6388,7512020.884
24258,19401,0,4,507544.6633,7512110.849
24259,19402,0,4,507484.6878,7512190.817
24260,19403,0,4,507424.7123,7512260.79
24261,19404,0,4,507364.7368,7512340.759
24262,19405,0,4,507314.7572,7512420.728
