FID,SAMPLEID,SOILTYPE,DEPTH_m,X,Y
0,15238,0,1,468210.3086,7471467.111
1,15238,0,2,468210.3086,7471467.111
2,15238,0,2.5,468210.3086,7471467.111
3,15239,0,1,467260.6848,7473246.404
4,15239,0,2,467260.6848,7473246.404
5,15239,0,2.4,467260.6848,7473246.404
6,15240,0,1,465741.2906,7473986.112
7,15240,0,2,465741.2906,7473986.112
8,15240,0,2.5,465741.2906,7473986.112
9,15244,0,1,464191.9142,7475135.656
10,15244,0,2,464191.9142,7475135.656
11,15244,0,2.9,464191.9142,7475135.656
12,15534,0,0.7,466750.8869,7474136.05
13,15534,0,1.3,466750.8869,7474136.05
14,15534,2,1.8,466750.8869,7474136.05
15,15534,2,1.8,466750.8869,7474136.05
16,15321,0,1,468390.2389,7477974.514
17,15321,0,2,468390.2389,7477974.514
18,15321,0,3,468390.2389,7477974.514
19,15321,0,3.3,468390.2389,7477974.514
20,15322,0,1,467610.5477,7477004.903
21,15322,0,1.4,467610.5477,7477004.903
22,15323,0,1,466540.9889,7478984.114
23,15323,0,2,466540.9889,7478984.114
24,15323,0,2.6,466540.9889,7478984.114
25,15324,0,1,465691.3422,7481103.269
26,15324,0,2,465691.3422,7481103.269
27,15324,0,2.9,465691.3422,7481103.269
28,15325,0,1,464371.8738,7481153.252
29,15325,0,2,464371.8738,7481153.252
30,15325,0,3,464371.8738,7481153.252
31,15325,0,3.1,464371.8738,7481153.252
32,15326,0,1,467440.6488,7483162.444
33,15326,0,2,467440.6488,7483162.444
34,15326,0,2.3,467440.6488,7483162.444
35,15327,0,1,465441.4535,7483102.471
36,15327,0,2,465441.4535,7483102.471
37,15327,0,3,465441.4535,7483102.471
38,15327,0,3.9,465441.4535,7483102.471
39,15328,0,1,464092.0026,7484192.039
40,15328,0,1.6,464092.0026,7484192.039
41,15504,0,1.5,465811.2919,7480713.425
42,15504,0,3,465811.2919,7480713.425
43,15504,1,4.5,465811.2919,7480713.425
44,15531,0,0.6,465401.47,7483172.443
45,15531,0,1.3,465401.47,7483172.443
46,15531,0,1.9,465401.47,7483172.443
47,15531,0,2.5,465401.47,7483172.443
48,15531,0,4,465401.47,7483172.443
49,15274,0,1,478336.2157,7470547.46
50,15274,0,2,478336.2157,7470547.46
51,15274,0,2.5,478336.2157,7470547.46
52,15275,0,1,476906.7955,7471966.897
53,15275,0,1.8,476906.7955,7471966.897
54,15276,0,1,476456.9813,7473936.111
55,15276,1,2,476456.9813,7473936.111
56,15276,0,4,476456.9813,7473936.111
57,15276,0,4.4,476456.9813,7473936.111
58,15291,0,1,471229.0988,7473526.284
59,15291,0,1.5,471229.0988,7473526.284
60,15292,0,1,470919.2181,7476055.276
61,15292,0,2,470919.2181,7476055.276
62,15292,0,2.9,470919.2181,7476055.276
63,15293,1,1,471678.9137,7476585.063
64,15293,0,1.6,471678.9137,7476585.063
65,15529,0,1.1,471818.8598,7475455.513
66,15529,0,2.1,471818.8598,7475455.513
67,15529,0,3.4,471818.8598,7475455.513
68,15529,0,4.1,471818.8598,7475455.513
69,15548,0,0.6,476536.9529,7475675.416
70,15548,0,1.1,476536.9529,7475675.416
71,15548,0,1.6,476536.9529,7475675.416
72,15548,0,2.1,476536.9529,7475675.416
73,15548,0,2.6,476536.9529,7475675.416
74,15548,1,3.1,476536.9529,7475675.416
75,15548,0,3.6,476536.9529,7475675.416
76,15551,0,0.6,476676.8865,7471177.213
77,15551,0,1.1,476676.8865,7471177.213
78,15551,0,1.6,476676.8865,7471177.213
79,15551,0,2.1,476676.8865,7471177.213
80,15551,0,2.6,476676.8865,7471177.213
81,15551,0,3.1,476676.8865,7471177.213
82,15551,0,3.6,476676.8865,7471177.213
83,15551,0,4.1,476676.8865,7471177.213
84,22237,0,1.2,478616.1043,7477314.757
85,22237,0,1.2,478616.1043,7477314.757
86,22238,0,0.6,478686.076,7477244.785
87,22238,0,0.6,478686.076,7477244.785
88,22238,0,1.1,478686.076,7477244.785
89,22238,0,1.1,478686.076,7477244.785
90,22239,0,0.6,478766.0437,7477154.82
91,22239,0,0.6,478766.0437,7477154.82
92,22239,0,1.1,478766.0437,7477154.82
93,22239,0,1.1,478766.0437,7477154.82
94,22240,1,0.6,478846.0113,7477074.852
95,22240,1,0.6,478846.0113,7477074.852
96,22240,1,1.2,478846.0113,7477074.852
97,22240,1,1.2,478846.0113,7477074.852
98,22241,1,0.6,478905.9871,7477004.88
99,22241,1,0.6,478905.9871,7477004.88
100,22241,1,1.3,478905.9871,7477004.88
101,22241,1,1.3,478905.9871,7477004.88
102,22242,1,0.6,478965.9629,7476934.908
103,22242,1,0.6,478965.9629,7476934.908
104,22242,1,0.9,478965.9629,7476934.908
105,22242,1,0.9,478965.9629,7476934.908
106,22243,0,0.6,478226.2668,7477764.578
107,22243,0,0.6,478226.2668,7477764.578
108,22243,0,1.1,478226.2668,7477764.578
109,22243,0,1.1,478226.2668,7477764.578
110,22244,0,0.6,478156.2962,7477844.546
111,22244,0,0.6,478156.2962,7477844.546
112,22245,1,0.6,478076.3297,7477934.51
113,22245,1,0.6,478076.3297,7477934.51
114,22245,0,1.3,478076.3297,7477934.51
115,22245,0,1.3,478076.3297,7477934.51
116,22246,0,0.6,478016.355,7478004.483
117,22246,0,0.6,478016.355,7478004.483
118,22246,0,1,478016.355,7478004.483
119,22246,0,1,478016.355,7478004.483
120,22247,1,0.6,477956.3803,7478084.451
121,22247,1,0.6,477956.3803,7478084.451
122,22247,1,1,477956.3803,7478084.451
123,22247,1,1,477956.3803,7478084.451
124,22248,1,0.7,477876.4138,7478164.419
125,22248,1,0.7,477876.4138,7478164.419
126,22248,0,1.4,477876.4138,7478164.419
127,22248,0,1.4,477876.4138,7478164.419
128,22249,0,0.7,477816.4388,7478224.395
129,22249,0,0.7,477816.4388,7478224.395
130,22249,0,1.1,477816.4388,7478224.395
131,22249,0,1.1,477816.4388,7478224.395
132,22250,0,0.7,477736.4724,7478314.359
133,22250,0,0.7,477736.4724,7478314.359
134,22250,0,1.1,477736.4724,7478314.359
135,22250,0,1.1,477736.4724,7478314.359
136,22251,0,0.6,477676.4978,7478394.328
137,22251,0,0.6,477676.4978,7478394.328
138,22251,0,1.4,477676.4978,7478394.328
139,22251,0,1.4,477676.4978,7478394.328
140,22252,0,0.6,477606.527,7478464.3
141,22252,0,0.6,477606.527,7478464.3
142,22252,0,1.4,477606.527,7478464.3
143,22252,0,1.4,477606.527,7478464.3
144,22253,0,0.6,477536.5564,7478544.268
145,22253,0,0.6,477536.5564,7478544.268
146,22253,0,1.4,477536.5564,7478544.268
147,22253,0,1.4,477536.5564,7478544.268
148,22254,0,0.6,477476.5817,7478614.24
149,22254,0,0.6,477476.5817,7478614.24
150,22254,0,1.3,477476.5817,7478614.24
151,22254,0,1.3,477476.5817,7478614.24
152,22255,0,0.6,477406.6111,7478694.208
153,22255,0,0.6,477406.6111,7478694.208
154,22255,0,1.2,477406.6111,7478694.208
155,22255,0,1.2,477406.6111,7478694.208
156,22256,0,0.6,477336.6403,7478764.181
157,22256,0,0.6,477336.6403,7478764.181
158,22256,0,1.4,477336.6403,7478764.181
159,22256,0,1.4,477336.6403,7478764.181
160,22257,1,0.6,477276.6657,7478844.149
161,22257,1,0.6,477276.6657,7478844.149
162,22257,1,1.4,477276.6657,7478844.149
163,22257,1,1.4,477276.6657,7478844.149
164,22258,0,0.6,477206.6948,7478914.121
165,22258,0,0.6,477206.6948,7478914.121
166,22258,0,1.5,477206.6948,7478914.121
167,22258,0,1.5,477206.6948,7478914.121
168,22259,0,0.6,477136.7234,7478994.089
169,22259,0,0.6,477136.7234,7478994.089
170,22259,0,1.4,477136.7234,7478994.089
171,22259,0,1.4,477136.7234,7478994.089
172,22260,1,0.6,477076.7479,7479064.062
173,22260,1,0.6,477076.7479,7479064.062
174,22260,1,1.5,477076.7479,7479064.062
175,22260,1,1.5,477076.7479,7479064.062
176,22261,1,0.6,477026.7684,7479124.038
177,22261,1,0.6,477026.7684,7479124.038
178,22261,1,1.5,477026.7684,7479124.038
179,22261,1,1.5,477026.7684,7479124.038
180,22262,0,0.6,476956.7969,7479194.01
181,22262,0,0.6,476956.7969,7479194.01
182,22262,0,1,476956.7969,7479194.01
183,22262,0,1,476956.7969,7479194.01
184,22263,1,0.6,476896.8215,7479273.978
185,22263,1,0.6,476896.8215,7479273.978
186,22263,1,1,476896.8215,7479273.978
187,22263,1,1,476896.8215,7479273.978
188,22264,1,0.6,476816.8541,7479353.947
189,22264,1,0.6,476816.8541,7479353.947
190,22264,1,1.1,476816.8541,7479353.947
191,22264,1,1.1,476816.8541,7479353.947
192,22265,1,0.6,476756.8786,7479413.923
193,22265,1,0.6,476756.8786,7479413.923
194,22265,1,1.2,476756.8786,7479413.923
195,22265,1,1.2,476756.8786,7479413.923
196,22266,1,0.6,476686.9072,7479493.891
197,22266,1,0.6,476686.9072,7479493.891
198,22266,1,1.2,476686.9072,7479493.891
199,22266,1,1.2,476686.9072,7479493.891
200,22267,1,0.6,476616.9357,7479563.864
201,22267,1,0.6,476616.9357,7479563.864
202,22267,1,1.3,476616.9357,7479563.864
203,22267,1,1.3,476616.9357,7479563.864
204,22268,1,0.6,476566.9562,7479633.836
205,22268,1,0.6,476566.9562,7479633.836
206,22268,1,1.4,476566.9562,7479633.836
207,22268,1,1.4,476566.9562,7479633.836
208,22269,1,1.5,476516.9766,7479693.812
209,22269,1,1.5,476516.9766,7479693.812
210,15259,0,1,479665.7237,7482292.769
211,15259,0,2,479665.7237,7482292.769
212,15259,0,3,479665.7237,7482292.769
213,15259,2,4,479665.7237,7482292.769
214,15259,2,4,479665.7237,7482292.769
215,15259,2,5,479665.7237,7482292.769
216,15259,2,5,479665.7237,7482292.769
217,15260,0,1,478716.1162,7484421.932
218,15261,0,1,478136.3561,7485631.451
219,15261,1,2,478136.3561,7485631.451
220,15261,1,3,478136.3561,7485631.451
221,15261,2,3.1,478136.3561,7485631.451
222,15261,2,3.1,478136.3561,7485631.451
223,15261,2,3.4,478136.3561,7485631.451
224,15261,2,3.4,478136.3561,7485631.451
225,15262,0,1,477556.5957,7486780.993
226,15262,2,2,477556.5957,7486780.993
227,15262,2,2,477556.5957,7486780.993
228,15262,2,2.5,477556.5957,7486780.993
229,15262,2,2.5,477556.5957,7486780.993
230,15263,1,1,478986.0141,7485641.446
231,15263,0,2,478986.0141,7485641.446
232,15263,0,3,478986.0141,7485641.446
233,15263,0,4,478986.0141,7485641.446
234,15277,0,1,474077.9493,7477664.628
235,15277,0,2,474077.9493,7477664.628
236,15277,0,3,474077.9493,7477664.628
237,15278,0,1,476017.1637,7477124.839
238,15278,0,2,476017.1637,7477124.839
239,15278,0,3,476017.1637,7477124.839
240,15278,0,3.5,476017.1637,7477124.839
241,15279,0,1,477816.4522,7479413.92
242,15279,0,2,477816.4522,7479413.92
243,15279,0,3,477816.4522,7479413.92
244,15279,0,4,477816.4522,7479413.92
245,15279,0,5,477816.4522,7479413.92
246,15279,0,5.5,477816.4522,7479413.92
247,15280,0,1,479315.849,7479453.9
248,15280,0,1.8,479315.849,7479453.9
249,15281,1,1,479335.8537,7481782.973
250,15281,0,4,479335.8537,7481782.973
251,15281,0,5,479335.8537,7481782.973
252,15281,0,5.6,479335.8537,7481782.973
253,15282,0,1,478746.0962,7482792.574
254,15282,0,2,478746.0962,7482792.574
255,15282,0,3,478746.0962,7482792.574
256,15282,0,4,478746.0962,7482792.574
257,15283,0,1,478326.2674,7483292.379
258,15283,0,2,478326.2674,7483292.379
259,15283,0,3,478326.2674,7483292.379
260,15283,0,4,478326.2674,7483292.379
261,15284,0,1,479415.7793,7477054.859
262,15284,0,2,479415.7793,7477054.859
263,15284,0,3,479415.7793,7477054.859
264,15284,0,4,479415.7793,7477054.859
265,15284,0,5,479415.7793,7477054.859
266,15284,1,6,479415.7793,7477054.859
267,15284,1,7,479415.7793,7477054.859
268,15284,1,7.6,479415.7793,7477054.859
269,15285,0,1,477946.3797,7477764.579
270,15285,0,2,477946.3797,7477764.579
271,15285,0,3,477946.3797,7477764.579
272,15285,0,4,477946.3797,7477764.579
273,15285,0,5,477946.3797,7477764.579
274,15285,0,6,477946.3797,7477764.579
275,15285,0,6.6,477946.3797,7477764.579
276,15286,0,1,475757.2775,7478814.164
277,15286,0,2,475757.2775,7478814.164
278,15286,0,3,475757.2775,7478814.164
279,15286,0,4,475757.2775,7478814.164
280,15286,0,4.6,475757.2775,7478814.164
281,15287,0,1,473928.0148,7479034.082
282,15287,0,2,473928.0148,7479034.082
283,15287,0,3,473928.0148,7479034.082
284,15287,0,3.4,473928.0148,7479034.082
285,15288,0,1,472798.4746,7479983.704
286,15288,0,2,472798.4746,7479983.704
287,15288,0,2.9,472798.4746,7479983.704
288,15289,1,1,472278.6743,7478174.427
289,15289,1,2,472278.6743,7478174.427
290,15289,1,3,472278.6743,7478174.427
291,15289,1,4,472278.6743,7478174.427
292,15289,0,5,472278.6743,7478174.427
293,15290,0,1,470389.4284,7476874.95
294,15290,0,2,470389.4284,7476874.95
295,15290,0,3,470389.4284,7476874.95
296,15290,0,3.4,470389.4284,7476874.95
297,15501,0,0.5,473538.1721,7479104.054
298,15501,0,1.6,473538.1721,7479104.054
299,15501,1,2.3,473538.1721,7479104.054
300,15501,0,3,473538.1721,7479104.054
301,15502,0,0.8,473068.36,7478864.15
302,15502,0,1.8,473068.36,7478864.15
303,15502,0,3,473068.36,7478864.15
304,15503,0,0.7,472638.5317,7478604.255
305,15503,0,1.8,472638.5317,7478604.255
306,15503,0,2.5,472638.5317,7478604.255
307,15526,0,0.7,477536.5898,7484182.028
308,15526,0,1.4,477536.5898,7484182.028
309,15526,1,4,477536.5898,7484182.028
310,15527,0,0.9,477006.769,7478454.305
311,15527,0,1.6,477006.769,7478454.305
312,15527,0,2.5,477006.769,7478454.305
313,15527,0,3.1,477006.769,7478454.305
314,15528,0,0.8,472458.6011,7477174.826
315,15528,1,2.2,472458.6011,7477174.826
316,15528,0,3.1,472458.6011,7477174.826
317,15528,1,3.5,472458.6011,7477174.826
318,15528,0,3.8,472458.6011,7477174.826
319,15528,1,4.2,472458.6011,7477174.826
320,15530,0,0.9,469959.6063,7477844.563
321,15530,0,1.8,469959.6063,7477844.563
322,15530,0,2.2,469959.6063,7477844.563
323,15530,0,2.5,469959.6063,7477844.563
324,15530,0,2.7,469959.6063,7477844.563
325,15530,0,3.1,469959.6063,7477844.563
326,15530,1,3.3,469959.6063,7477844.563
327,15530,0,3.7,469959.6063,7477844.563
328,15530,0,4.1,469959.6063,7477844.563
329,16001,0,2.8,478216.3114,7483252.396
330,16001,0,4,478216.3114,7483252.396
331,16001,0,4.5,478216.3114,7483252.396
332,16002,0,1,478266.2912,7483232.403
333,16002,0,2,478266.2913,7483252.396
334,16002,0,2.3,478266.2913,7483252.396
335,16002,0,2.3,478266.2913,7483252.396
336,16003,0,1,478316.2713,7483262.391
337,16003,0,2,478316.2713,7483262.391
338,16003,2,3,478316.2713,7483262.391
339,16004,0,1,478366.2512,7483262.391
340,16004,0,1.5,478366.2512,7483262.391
341,16005,0,1,478416.2311,7483262.391
342,16006,0,1,478416.2308,7483212.41
343,16006,0,1.5,478416.2308,7483212.41
344,16007,0,1,478366.2509,7483212.411
345,16007,0,2,478366.2509,7483212.411
346,16008,0,1,478316.271,7483202.415
347,16008,0,1.3,478316.271,7483202.415
348,16009,0,1,478256.2951,7483202.415
349,16009,0,2,478256.2951,7483202.415
350,16009,0,2.5,478256.2951,7483202.415
351,16010,0,3.5,478216.3111,7483192.419
352,16010,0,4.5,478216.3111,7483192.419
353,16010,0,4.8,478216.3111,7483192.419
354,16011,0,1,478216.3116,7483292.38
355,16011,0,2,478216.3116,7483292.38
356,16011,0,3,478216.3116,7483292.38
357,16011,0,4,478216.3116,7483292.38
358,16011,0,5,478216.3116,7483292.38
359,16011,0,5.5,478216.3116,7483292.38
360,16012,0,1,478266.2915,7483292.38
361,16012,0,2,478266.2915,7483292.38
362,16012,0,3,478266.2915,7483292.38
363,16012,0,4,478266.2915,7483292.38
364,16012,0,4.4,478266.2915,7483292.38
365,16013,0,1,478316.2715,7483302.376
366,16013,0,2,478316.2715,7483302.376
367,16013,0,3,478316.2715,7483302.376
368,16013,2,4,478316.2715,7483302.376
369,16013,2,4.2,478316.2715,7483302.376
370,16014,0,1,478356.2554,7483302.375
371,16015,0,1,478416.2313,7483312.371
372,16015,0,1.2,478416.2313,7483312.371
373,16016,0,1,478416.2316,7483362.351
374,16016,0,2,478416.2316,7483362.351
375,16016,0,3,478416.2316,7483362.351
376,16017,0,1,478356.2556,7483352.356
377,16017,0,2,478356.2556,7483352.356
378,16017,0,3,478356.2556,7483352.356
379,16017,2,3.4,478356.2556,7483352.356
380,16018,0,1,478296.2797,7483352.356
381,16018,0,2,478296.2797,7483352.356
382,16018,0,3,478296.2797,7483352.356
383,16018,0,4,478296.2797,7483352.356
384,16018,0,5,478296.2797,7483352.356
385,16018,0,5.9,478296.2797,7483352.356
386,16019,0,1,478256.2958,7483352.356
387,16019,0,2,478256.2958,7483352.356
388,16019,0,3,478256.2958,7483352.356
389,16019,0,4,478256.2958,7483352.356
390,16019,0,4.6,478256.2958,7483352.356
391,16020,0,1,478216.3119,7483352.356
392,16020,0,3,478216.3119,7483352.356
393,16020,0,4,478216.3119,7483352.356
394,16020,2,5,478216.3119,7483352.356
395,16021,0,1,478216.3121,7483402.337
396,16021,0,2,478216.3121,7483402.337
397,16021,0,3,478216.3121,7483402.337
398,16021,0,4,478216.3121,7483402.337
399,16021,0,5,478216.3121,7483402.337
400,16021,0,6,478216.3121,7483402.337
401,16021,0,7,478216.3121,7483402.337
402,16022,0,1,478316.272,7483402.336
403,16022,0,2,478256.2961,7483402.336
404,16022,0,3,478256.2961,7483402.336
405,16022,0,4,478256.2961,7483402.336
406,16022,0,5.3,478256.2961,7483402.336
407,16023,0,1,478306.276,7483412.332
408,16023,0,2,478306.276,7483412.332
409,16023,0,3,478306.276,7483412.332
410,16023,0,4,478306.276,7483412.332
411,16024,0,1,478356.2559,7483412.332
412,16024,0,2,478356.2559,7483412.332
413,16024,0,3,478356.2559,7483412.332
414,16024,0,4,478356.2559,7483412.332
415,16024,0,5,478356.2559,7483412.332
416,16025,0,1,478406.2358,7483412.332
417,16025,0,2,478406.2358,7483412.332
418,16025,0,3,478406.2358,7483412.332
419,16025,0,4,478406.2358,7483412.332
420,16025,0,5,478406.2358,7483412.332
421,16025,0,6.2,478406.2358,7483412.332
422,15264,0,1,483264.2188,7476774.961
423,15264,2,2,483264.2188,7476774.961
424,15264,2,2,483264.2188,7476774.961
425,15265,1,1,483853.9777,7474795.75
426,15265,1,4,483853.9777,7474795.75
427,15265,1,5,483853.9777,7474795.75
428,15265,1,6,483853.9777,7474795.75
429,15266,0,1,481444.9568,7475595.437
430,15266,0,2,481444.9568,7475595.437
431,15266,0,3,481444.9568,7475595.437
432,15266,0,4,481444.9568,7475595.437
433,15266,0,5,481444.9568,7475595.437
434,15266,0,8,481444.9568,7475595.437
435,15267,0,1,482814.4032,7474136.016
436,15267,0,2,482814.4032,7474136.016
437,15267,0,3,482814.4032,7474136.016
438,15267,0,4,482814.4032,7474136.016
439,15267,0,5,482814.4032,7474136.016
440,15267,0,6,482814.4032,7474136.016
441,15267,0,7,482814.4032,7474136.016
442,15268,1,1,483384.1768,7472156.805
443,15268,0,2,483384.1768,7472156.805
444,15268,0,3,483384.1768,7472156.805
445,15268,0,4,483384.1768,7472156.805
446,15268,0,5,483384.1768,7472156.805
447,15268,1,5.1,483384.1768,7472156.805
448,15268,0,5.8,483384.1768,7472156.805
449,15269,1,1,484053.9087,7470407.502
450,15269,1,4,484053.9087,7470407.502
451,15269,1,7,484053.9087,7470407.502
452,15269,0,10,484053.9087,7470407.502
453,15309,0,1,489531.666,7475195.578
454,15309,0,1.7,489531.666,7475195.578
455,15310,0,1,487612.4495,7475805.339
456,15310,0,2,487612.4495,7475805.339
457,15310,0,2.4,487612.4495,7475805.339
458,15311,0,1,485543.2959,7476575.036
459,15311,0,2,485543.2959,7476575.036
460,15311,0,3,485543.2959,7476575.036
461,15311,0,3.9,485543.2959,7476575.036
462,15311,0,4,485543.2959,7476575.036
463,15312,0,5.5,483774.0145,7473346.329
464,15312,0,8.5,483774.0145,7473346.329
465,15517,0,1.4,488672.0173,7475495.46
466,15517,0,2,488672.0173,7475495.46
467,15517,0,2.8,488672.0173,7475495.46
468,15518,0,0.9,485383.3616,7476655.004
469,15518,0,1.5,485383.3616,7476655.004
470,15518,1,2,485383.3616,7476655.004
471,15518,0,2.5,485383.3616,7476655.004
472,15518,0,3.8,485383.3616,7476655.004
473,15518,3,4,485383.3616,7476655.004
474,15552,0,0.9,483254.2289,7472456.686
475,15552,0,1.4,483254.2289,7472456.686
476,15552,0,1.9,483254.2289,7472456.686
477,15552,0,2.4,483254.2289,7472456.686
478,15552,0,2.9,483254.2289,7472456.686
479,15552,0,3.4,483254.2289,7472456.686
480,15552,0,3.9,483254.2289,7472456.686
481,15552,1,4.4,483254.2289,7472456.686
482,15553,0,0.5,481095.0998,7475445.497
483,15553,0,1,481095.0998,7475445.497
484,15553,0,1.5,481095.0998,7475445.497
485,15553,0,2,481095.0998,7475445.497
486,15553,0,2.5,481095.0998,7475445.497
487,15553,1,3,481095.0998,7475445.497
488,15553,1,3.5,481095.0998,7475445.497
489,15553,1,4,481095.0998,7475445.497
490,15553,1,4.5,481095.0998,7475445.497
491,58418,0,0.5,485573.3196,7479054.045
492,58418,0,1,485573.3196,7479054.045
493,58418,0,1.5,485573.3196,7479054.045
494,58419,0,0.5,486592.9187,7479793.747
495,58419,0,1,486592.9187,7479793.747
496,58419,0,1.5,486592.9187,7479793.747
497,15247,0,1,481614.8961,7477574.646
498,15247,0,2,481614.8961,7477574.646
499,15247,0,3,481614.8961,7477574.646
500,15247,0,4,481614.8961,7477574.646
501,15247,1,5,481614.8961,7477574.646
502,15247,0,7,481614.8961,7477574.646
503,15247,0,8,481614.8961,7477574.646
504,15248,0,1,481914.8018,7479423.906
505,15248,1,2,481914.8018,7479423.906
506,15248,0,3,481914.8018,7479423.906
507,15248,0,4,481914.8018,7479423.906
508,15248,0,5,481914.8018,7479423.906
509,15248,0,5.4,481914.8018,7479423.906
510,15249,1,1,481954.7957,7481033.264
511,15249,0,2,481954.7957,7481033.264
512,15249,0,4,481954.7957,7481033.264
513,15249,0,5,481954.7957,7481033.264
514,15249,1,6,481954.7957,7481033.264
515,15249,0,9,481954.7957,7481033.264
516,15249,0,10,481954.7957,7481033.264
517,15254,1,4,481614.9498,7484221.995
518,15254,1,7,481614.9498,7484221.995
519,15254,1,10,481614.9498,7484221.995
520,15254,2,11.7,481614.9498,7484221.995
521,15254,2,11.7,481614.9498,7484221.995
522,15255,0,1,480305.4776,7484471.903
523,15255,1,1.1,480305.4776,7484471.903
524,15255,1,4,480305.4776,7484471.903
525,15255,1,4.3,480305.4776,7484471.903
526,15256,0,1,480345.4539,7482982.492
527,15256,0,2,480345.4539,7482982.492
528,15256,0,3,480345.4539,7482982.492
529,15256,2,3.3,480345.4539,7482982.492
530,15256,2,3.3,480345.4539,7482982.492
531,15257,0,1,481055.1626,7481932.908
532,15257,1,2,481055.1626,7481932.908
533,15257,0,5,481055.1626,7481932.908
534,15257,1,6.5,481055.1626,7481932.908
535,15258,1,1,479865.6364,7481023.274
536,15258,0,3,479865.6364,7481023.274
537,15258,0,3.9,479865.6364,7481023.274
538,15296,0,1,484993.5352,7477774.558
539,15296,0,2,484993.5352,7477774.558
540,15296,0,3,484993.5352,7477774.558
541,15297,0,1,483594.103,7477974.481
542,15297,0,1.7,483594.103,7477974.481
543,15305,0,1,486083.1183,7479363.92
544,15305,0,1.8,486083.1183,7479363.92
545,15305,0,2.2,486083.1183,7479363.92
546,15307,0,1,483254.2575,7479174.003
547,15307,0,2,483254.2575,7479174.003
548,15307,2,2.8,483254.2575,7479174.003
549,15307,2,2.8,483254.2575,7479174.003
550,15308,0,1,484303.8032,7477054.847
551,15308,0,2,484303.8032,7477054.847
552,15308,0,2.2,484303.8032,7477054.847
553,15519,0,0.8,485613.3045,7479124.017
554,15519,0,0.9,485613.3045,7479124.017
555,15519,1,1,485613.3045,7479124.017
556,15519,0,1.6,485613.3045,7479124.017
557,15519,0,2.5,485613.3045,7479124.017
558,15525,1,1,483314.2356,7479333.938
559,15525,0,2,483314.2356,7479333.938
560,15525,0,2.3,482314.6391,7479333.941
561,15525,2,2.5,483314.2356,7479333.938
562,15525,2,2.5,483314.2356,7479333.938
563,6014,0,0.5,496798.7079,7473456.255
564,6016,0,0.5,496808.7077,7473756.136
565,6017,0,1.2,496808.7077,7473756.136
566,6018,0,1.8,491770.7571,7473156.387
567,6020,0,0.5,491770.7569,7473256.347
568,6021,0,0.8,491770.7569,7473256.347
569,6023,0,0.5,491770.7566,7473346.311
570,6024,0,1,491770.7566,7473346.311
571,6027,0,1.1,491770.7563,7473456.267
572,6029,0,0.5,491770.756,7473546.231
573,6031,1,0.5,491760.7598,7473656.187
574,6033,0,0.5,491750.7635,7473756.147
575,6034,0,1.1,491750.7635,7473756.147
576,6036,0,0.5,491750.7633,7473856.107
577,6037,0,1.5,491750.7633,7473856.107
578,6039,0,0.5,491750.7629,7473976.059
579,6040,0,1.3,491750.7629,7473976.059
580,6042,0,0.5,491750.7626,7474076.02
581,6043,0,1.6,491750.7626,7474076.02
582,6045,0,0.5,491750.7623,7474175.98
583,6046,0,1.6,491750.7623,7474175.98
584,6050,0,0.5,491730.7697,7474435.876
585,6052,0,0.5,491730.7694,7474535.836
586,6053,0,0.8,491730.7694,7474535.836
587,6055,0,0.5,491730.7702,7474635.796
588,6056,0,1.8,491730.7702,7474635.796
589,6060,0,0.5,491730.7732,7474845.712
590,6062,1,0.5,491730.7762,7475055.628
591,6065,1,0.5,491730.779,7475245.552
592,6066,1,1.2,491730.779,7475245.552
593,6114,0,0.5,498607.9806,7470067.604
594,6117,3,0.5,498617.976,7470247.532
595,6118,3,1.4,498617.976,7470247.532
596,6120,0,0.5,498627.9717,7470337.496
597,6121,0,1.8,498627.9717,7470337.496
598,6123,0,0.5,498647.9619,7470917.265
599,15204,0,1,499627.5633,7470747.33
600,15204,0,2,499627.5633,7470747.33
601,15204,0,2.6,499627.5633,7470747.33
602,15205,0,1,496248.9351,7472346.7
603,15205,0,2,496248.9351,7472346.7
604,15205,0,3,496248.9351,7472346.7
605,15205,0,4,496248.9351,7472346.7
606,15205,0,4.3,496248.9351,7472346.7
607,15205,2,4.4,496248.9351,7472346.7
608,15205,2,4.4,496248.9351,7472346.7
609,15206,0,1,494589.6139,7471397.083
610,15206,0,2,494589.6139,7471397.083
611,15206,0,3,494589.6139,7471397.083
612,15206,0,3.3,494589.6139,7471397.083
613,15207,0,1,492680.3848,7473776.137
614,15207,2,2,492680.3848,7473776.137
615,15207,2,2,492680.3848,7473776.137
616,15207,2,2.7,492680.3848,7473776.137
617,15207,2,2.7,492680.3848,7473776.137
618,15208,0,1,489971.4864,7475055.633
619,15208,0,2,489971.4864,7475055.633
620,15208,0,3,489971.4864,7475055.633
621,15208,0,3.9,489971.4864,7475055.633
622,15208,2,4,489971.4864,7475055.633
623,15208,2,4,489971.4864,7475055.633
624,15208,2,4.2,489971.4864,7475055.633
625,15208,2,4.2,489971.4864,7475055.633
626,15515,0,1,496278.9229,7472346.7
627,15515,1,1.6,496278.9229,7472346.7
628,15515,0,2.2,496278.9229,7472346.7
629,15515,0,3.2,496278.9229,7472346.7
630,15516,1,0.9,492770.3483,7473716.161
631,15516,0,1.3,492770.3483,7473716.161
632,15516,0,1.6,492770.3483,7473716.161
633,15516,0,2.5,492770.3483,7473716.161
634,15516,0,3.3,492770.3483,7473716.161
