15238,1.0,468210.3086,7471467.111,moreeni,No problem here
15238,2.0,468210.3086,7471467.111,moreeni,No problem here
15238,2.5,468210.3086,7471467.111,moreeni,No problem here
15239,1.0,467260.6848,7473246.404,moreeni,No problem here
15239,2.0,467260.6848,7473246.404,moreeni,No problem here
15239,2.4,467260.6848,7473246.404,moreeni,No problem here
15240,1.0,465741.2906,7473986.112,moreeni,No problem here
15240,2.0,465741.2906,7473986.112,moreeni,No problem here
15240,2.5,465741.2906,7473986.112,moreeni,No problem here
15244,1.0,464191.9142,7475135.656,moreeni,No problem here
15244,2.0,464191.9142,7475135.656,moreeni,No problem here
15244,2.9,464191.9142,7475135.656,moreeni,No problem here
15534,0.7,466750.8869,7474136.05,moreeni,No problem here
15534,1.3,466750.8869,7474136.05,moreeni,No problem here
15534,1.8,466750.8869,7474136.05,rapakallio,No problem here
15534,1.8,466750.8869,7474136.05,rapakallio,No problem here
15321,1.0,468390.2389,7477974.514,moreeni,No problem here
15321,2.0,468390.2389,7477974.514,moreeni,No problem here
15321,3.0,468390.2389,7477974.514,moreeni,No problem here
15321,3.3,468390.2389,7477974.514,moreeni,No problem here
15322,1.0,467610.5477,7477004.903,moreeni,No problem here
15322,1.4,467610.5477,7477004.903,moreeni,No problem here
15323,1.0,466540.9889,7478984.114,moreeni,No problem here
15323,2.0,466540.9889,7478984.114,moreeni,No problem here
15323,2.6,466540.9889,7478984.114,moreeni,No problem here
15324,1.0,465691.3422,7481103.269,moreeni,No problem here
15324,2.0,465691.3422,7481103.269,moreeni,No problem here
15324,2.9,465691.3422,7481103.269,moreeni,No problem here
15325,1.0,464371.8738,7481153.252,moreeni,No problem here
15325,2.0,464371.8738,7481153.252,moreeni,No problem here
15325,3.0,464371.8738,7481153.252,moreeni,No problem here
15325,3.1,464371.8738,7481153.252,moreeni,No problem here
15326,1.0,467440.6488,7483162.444,moreeni,No problem here
15326,2.0,467440.6488,7483162.444,moreeni,No problem here
15326,2.3,467440.6488,7483162.444,moreeni,No problem here
15327,1.0,465441.4535,7483102.471,moreeni,No problem here
15327,2.0,465441.4535,7483102.471,moreeni,No problem here
15327,3.0,465441.4535,7483102.471,moreeni,No problem here
15327,3.9,465441.4535,7483102.471,moreeni,No problem here
15328,1.0,464092.0026,7484192.039,moreeni,No problem here
15328,1.6,464092.0026,7484192.039,moreeni,No problem here
15504,1.5,465811.2919,7480713.425,moreeni,No problem here
15504,3.0,465811.2919,7480713.425,moreeni,No problem here
15504,4.5,465811.2919,7480713.425,hiekka,No problem here
15531,0.6,465401.47,7483172.443,moreeni,No problem here
15531,1.3,465401.47,7483172.443,moreeni,No problem here
15531,1.9,465401.47,7483172.443,moreeni,No problem here
15531,2.5,465401.47,7483172.443,moreeni,No problem here
15531,4.0,465401.47,7483172.443,moreeni,No problem here
15274,1.0,478336.2157,7470547.46,moreeni,No problem here
15274,2.0,478336.2157,7470547.46,moreeni,No problem here
15274,2.5,478336.2157,7470547.46,moreeni,No problem here
15275,1.0,476906.7955,7471966.897,moreeni,No problem here
15275,1.8,476906.7955,7471966.897,moreeni,No problem here
15276,1.0,476456.9813,7473936.111,moreeni,No problem here
15276,2.0,476456.9813,7473936.111,hiekka,No problem here
15276,4.0,476456.9813,7473936.111,moreeni,No problem here
15276,4.4,476456.9813,7473936.111,moreeni,No problem here
15291,1.0,471229.0988,7473526.284,moreeni,No problem here
15291,1.5,471229.0988,7473526.284,moreeni,No problem here
15292,1.0,470919.2181,7476055.276,moreeni,No problem here
15292,2.0,470919.2181,7476055.276,moreeni,No problem here
15292,2.9,470919.2181,7476055.276,moreeni,No problem here
15293,1.0,471678.9137,7476585.063,hiekka,No problem here
15293,1.6,471678.9137,7476585.063,moreeni,No problem here
15529,1.1,471818.8598,7475455.513,moreeni,No problem here
15529,2.1,471818.8598,7475455.513,moreeni,No problem here
15529,3.4,471818.8598,7475455.513,moreeni,No problem here
15529,4.1,471818.8598,7475455.513,moreeni,No problem here
15548,0.6,476536.9529,7475675.416,moreeni,No problem here
15548,1.1,476536.9529,7475675.416,moreeni,No problem here
15548,1.6,476536.9529,7475675.416,moreeni,No problem here
15548,2.1,476536.9529,7475675.416,moreeni,No problem here
15548,2.6,476536.9529,7475675.416,moreeni,No problem here
15548,3.1,476536.9529,7475675.416,hiekka,No problem here
15548,3.6,476536.9529,7475675.416,moreeni,No problem here
15551,0.6,476676.8865,7471177.213,moreeni,No problem here
15551,1.1,476676.8865,7471177.213,moreeni,No problem here
15551,1.6,476676.8865,7471177.213,moreeni,No problem here
15551,2.1,476676.8865,7471177.213,moreeni,No problem here
15551,2.6,476676.8865,7471177.213,moreeni,No problem here
15551,3.1,476676.8865,7471177.213,moreeni,No problem here
15551,3.6,476676.8865,7471177.213,moreeni,No problem here
15551,4.1,476676.8865,7471177.213,moreeni,No problem here
22237,1.2,478616.1043,7477314.757,moreeni,DOUPLE SAMPLE
22237,1.2,478616.1043,7477314.757,moreeni,No problem here
